business_legal_name,license_type,license_designation,premise_city,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,business_website,business_dba_name,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_zip_code
Moon Waters Farm of Vermont LLC,"
SCLT0035
",Adult-Use,,109,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Moon Waters Farm of Vermont LLC,2023-04-25T08:24:42.203784,,,,,
Peregrine Farm LLC,"
SCLT0060
",Adult-Use,,110,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Peregrine Farm LLC,2023-04-25T08:24:42.203784,,,,,
"Bizzee Beez Organics, LLC","
SCLT0045
",Adult-Use,,111,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Bizzee Beez Organics, LLC",2023-04-25T08:24:42.203784,,,,,
"Kanna, LLC","
SCLT0133
",Adult-Use,,112,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Kanna, LLC",2023-04-25T08:24:42.203784,,,,,
Banting Farm Buds LLC,"
SCLT0041
",Adult-Use,,113,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Banting Farm Buds LLC,2023-04-25T08:24:42.203784,,,,,
"Roaring Branch Farm, LLC","
SCLT0027
",Adult-Use,,114,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Roaring Branch Farm, LLC",2023-04-25T08:24:42.203784,,,,,
"High Mountain Homegrown, LLC","
SCLT0037
",Adult-Use,,115,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"High Mountain Homegrown, LLC",2023-04-25T08:24:42.203784,,,,,
"Birch Haven Farm, LLC","
SCLT0070
",Adult-Use,,116,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Birch Haven Farm, LLC",2023-04-25T08:24:42.203784,,,,,
"Purple Lark Farm, LLC (legal name) and Motherflower (brand name)","
SCLT0030
",Adult-Use,,117,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Purple Lark Farm, LLC (legal name) and Motherflower (brand name)",2023-04-25T08:24:42.203784,,,,,
"Rising Sun Sensi, LLC","
SCLT0069
",Adult-Use,,118,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Rising Sun Sensi, LLC",2023-04-25T08:24:42.203784,,,,,
"7enith Farm, LLC","
SCLT0042
",Adult-Use,,119,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"7enith Farm, LLC",2023-04-25T08:24:42.203784,,,,,
"OK Organix, LLC","
SCLT0057
",Adult-Use,,120,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"OK Organix, LLC",2023-04-25T08:24:42.203784,,,,,
"Cloudy Day Farm, LLC","
SCLT0075
",Adult-Use,,121,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Cloudy Day Farm, LLC",2023-04-25T08:24:42.203784,,,,,
