license_number,id,business_dba_name,license_type,license_status,address,business_legal_name,business_owner_name,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,issue_date,expiration_date,premise_city,premise_zip_code,business_email,business_image_url,data_refreshed_date
11509,1033200,PERMAFROST DISTRIBUTORS,Retail Marijuana Store,Active-Operating,"32630 June Dr., Sterling, AK 99672, UNITED STATES",PERMAFROST DISTRIBUTORS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Sterling,99672,,,2024-03-24T22:01:20.007861
11547,1087372,CLOUDBERRY CANNABIS,Retail Marijuana Store,Active-Operating,"3307 Spenard Road, Anchorage, AK 99503, UNITED STATES",CLOUDBERRY CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99503,,,2024-03-24T22:01:20.007861
11614,1051872,AK JOINT,Retail Marijuana Store,Active-Operating,"7801 Schoon St, Unit F, Anchorage, AK 99518, UNITED STATES",AK JOINT,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit F,Anchorage,,,2024-03-24T22:01:20.007861
11638,2092987,Catalyst Cannabis Company,Retail Marijuana Store,Active-Operating,"9900 Old Seward Highway, #4, Anchorage, AK 99515, UNITED STATES",Catalyst Cannabis Company,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,#4,Anchorage,,,2024-03-24T22:01:20.007861
11731,1062162,SCORPION GRASS,Retail Marijuana Store,Active-Operating,"1551 E Tudor Road, Anchorage, AK 99507, UNITED STATES",SCORPION GRASS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99507,,,2024-03-24T22:01:20.007861
11927,1041284,GREEN LIFE SUPPLY LLC,Retail Marijuana Store,Active-Operating,"511 30th ave., Fairbanks, AK 99701, UNITED STATES",GREEN LIFE SUPPLY LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,,,2024-03-24T22:01:20.007861
11966,1065429,GREAT NORTHERN CANNABIS,Retail Marijuana Store,Active-Operating,"541 W. 4th Ave., Anchorage, AK 99501, UNITED STATES",GREAT NORTHERN CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99501,,,2024-03-24T22:01:20.007861
12023,1078259,GREEN DEGREE,Retail Marijuana Store,Active-Operating,"3361 W Machen Rd, Retail Space, Wasilla, AK 99623, UNITED STATES",GREEN DEGREE,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Retail Space,Wasilla,,,2024-03-24T22:01:20.007861
12316,1050006,"ANCHORAGE BOWL, LLC.",Retail Marijuana Store,Active-Operating,"4000 Spenard Road, Anchorage, AK 99517, UNITED STATES","ANCHORAGE BOWL, LLC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99517,,,2024-03-24T22:01:20.007861
12325,2115560,GOOD Cannabis,Retail Marijuana Store,Active-Operating,"356 Old Steese Hwy, Fairbanks, AK 99701, UNITED STATES",GOOD Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,,,2024-03-24T22:01:20.007861
12437,1038961,"ALASKA CANNABIS EXCHANGE, LLC",Retail Marijuana Store,Active-Operating,"2906 SPENARD ROAD, ANCHORAGE, AK 99503, UNITED STATES","ALASKA CANNABIS EXCHANGE, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,ANCHORAGE,99503,,,2024-03-24T22:01:20.007861
12635,1033365,GREEN DEGREE,Retail Marijuana Store,Active-Operating,"13856 N. GLENN HWY, (Northern Portion of the Building), SUTTON, AK 99674, UNITED STATES",GREEN DEGREE,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,(Northern Portion of the Building),SUTTON,,,2024-03-24T22:01:20.007861
