license_number,business_dba_name,id,license_type,LicenseStatus,premise_county,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_legal_name,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,business_phone,business_website,data_refreshed_date
09127772901374202190,Nuleaf Sparks Cultivation Llc,09127772901374202190,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NULEAF SPARKS CULTIVATION LLC,,,,,,,,,2024-07-10
09259278323384314999,Greenleaf Enterprises Inc,09259278323384314999,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENLEAF ENTERPRISES INC,,,,,,,,,2024-07-10
09271842370730937488,Essence Henderson Llc,09271842370730937488,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ESSENCE HENDERSON LLC,,,,,,,,,2024-07-10
09485024341050013930,Rombough Real Estate Inc,09485024341050013930,Medical Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ROMBOUGH REAL ESTATE INC,,,,,,,,,2024-07-10
10157851668078035933,High Sierra Holistics Llc,10157851668078035933,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,HIGH SIERRA HOLISTICS LLC,,,,,,,,,2024-07-10
10204272765771786596,Greenway Health Community Llc,10204272765771786596,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENWAY HEALTH COMMUNITY LLC,,,,,,,,,2024-07-10
10340862547948454764,Naturex Llc,10340862547948454764,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NATUREX LLC,,,,,,,,,2024-07-10
10390116224938552959,Unifern Llc,10390116224938552959,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,UNIFERN LLC,,,,,,,,,2024-07-10
10899841596112495650,Mm R & D Llc,10899841596112495650,Medical Dispensary,Active,Churchill,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MM R & D LLC,,,,,,,,,2024-07-10
10982097214978528659,Cn Licensco Iii Inc,10982097214978528659,Retail Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CN LICENSCO III INC,,,,,,,,,2024-07-10
11023162879454781073,Unifern Llc,11023162879454781073,Medical Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,UNIFERN LLC,,,,,,,,,2024-07-10
11058209030610809158,Acres Medical Llc,11058209030610809158,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ACRES MEDICAL LLC,,,,,,,,,2024-07-10
11272007909136750453,Nye Farm Tech Ltd,11272007909136750453,Retail Cultivation,Active,Nye,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NYE FARM TECH LTD,,,,,,,,,2024-07-10
11443721033142554219,Silver State Relief Llc,11443721033142554219,Retail Dispensary,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER STATE RELIEF LLC,,,,,,,,,2024-07-10
11679863451946958412,Greenmart Of Nevada Nlv Llc,11679863451946958412,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENMART OF NEVADA NLV LLC,,,,,,,,,2024-07-10
12860017177223316229,Gb Sciences Nevada Llc,12860017177223316229,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GB SCIENCES NEVADA LLC,,,,,,,,,2024-07-10
13109494552101077982,Natural Medicine Llc,13109494552101077982,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NATURAL MEDICINE LLC,,,,,,,,,2024-07-10
13244303247046007918,Lemon Aide Llc,13244303247046007918,Retail Dispensary,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LEMON AIDE LLC,,,,,,,,,2024-07-10
13351121953140240442,Mm Development Company Inc,13351121953140240442,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MM DEVELOPMENT COMPANY INC,,,,,,,,,2024-07-10
13858476118270787452,Urban Hills Llc,13858476118270787452,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,URBAN HILLS LLC,,,,,,,,,2024-07-10
13932286413907255774,Nevada Organic Remedies Llc,13932286413907255774,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA ORGANIC REMEDIES LLC,,,,,,,,,2024-07-10
14023272993797946504,Lone Mountain Partners Llc,14023272993797946504,Retail Distributor,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LONE MOUNTAIN PARTNERS LLC,,,,,,,,,2024-07-10
14194022211467850983,Commerce Park Medical Cactus Rd329 Llc,14194022211467850983,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,COMMERCE PARK MEDICAL CACTUS RD329 LLC,,,,,,,,,2024-07-10
14387723470413703993,Gravitas Nevada Ltd,14387723470413703993,Retail Distributor,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GRAVITAS NEVADA LTD,,,,,,,,,2024-07-10
14501073281263752947,Cclv Manufacturing Center Llc,14501073281263752947,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CCLV MANUFACTURING CENTER LLC,,,,,,,,,2024-07-10
14504799651148975256,Livfree Wellness Llc A Nevada Limited Liability Company,14504799651148975256,Retail Distributor,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,,,,,,,,,2024-07-10
14864731709040080608,Tryke Companies Reno Llc,14864731709040080608,Retail Dispensary,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TRYKE COMPANIES RENO LLC,,,,,,,,,2024-07-10
15066280419696569275,Tahoe Hydroponics Company Llc,15066280419696569275,Retail Cultivation,Active,Carson City,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TAHOE HYDROPONICS COMPANY LLC,,,,,,,,,2024-07-10
15398675340409721326,Div Holdings Llc,15398675340409721326,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DIV HOLDINGS LLC,,,,,,,,,2024-07-10
15464995890053145809,Essence Tropicana Llc,15464995890053145809,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ESSENCE TROPICANA LLC,,,,,,,,,2024-07-10
15500198984289437898,H & K Growers Corp,15500198984289437898,Medical Cultivation,Non-Operational,Elko,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,H & K GROWERS CORP,,,,,,,,,2024-07-10
15555721623971178599,Lvop Holdings Llc,15555721623971178599,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LVOP HOLDINGS LLC,,,,,,,,,2024-07-10
15677890458261123314,Nuleaf Sparks Cultivation Llc,15677890458261123314,Medical Cultivation,Non-Operational,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NULEAF SPARKS CULTIVATION LLC,,,,,,,,,2024-07-10
15683084663955616276,Qualcan Llc,15683084663955616276,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,QUALCAN LLC,,,,,,,,,2024-07-10
16124351110339961847,Greenleaf Enterprises Inc,16124351110339961847,Retail Distributor,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENLEAF ENTERPRISES INC,,,,,,,,,2024-07-10
17334914845519714402,Ssac Corporation,17334914845519714402,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SSAC CORPORATION,,,,,,,,,2024-07-10
17355802525954961447,Gti Nevada Llc,17355802525954961447,Retail Cultivation,Active,Carson City,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GTI NEVADA LLC,,,,,,,,,2024-07-10
17456701400872901775,Deep Roots Harvest Inc.,17456701400872901775,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DEEP ROOTS HARVEST INC.,,,,,,,,,2024-07-10
17467707413107632038,Libra Wellness Center Llc,17467707413107632038,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LIBRA WELLNESS CENTER LLC,,,,,,,,,2024-07-10
17755737390295686365,Mm Development Company Inc,17755737390295686365,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MM DEVELOPMENT COMPANY INC,,,,,,,,,2024-07-10
17757785646300938968,Blossum Group,17757785646300938968,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,BLOSSUM GROUP,,,,,,,,,2024-07-10
17893663152257070537,Lander Leaf Growers Llc,17893663152257070537,Retail Cultivation,Non-Operational,Lander,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LANDER LEAF GROWERS LLC,,,,,,,,,2024-07-10
18482416987753786163,Essence Henderson Llc,18482416987753786163,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ESSENCE HENDERSON LLC,,,,,,,,,2024-07-10
19066445888733574338,Mj Distributing C201 Llc,19066445888733574338,Retail Cultivation,Active,Lincoln,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MJ DISTRIBUTING C201 LLC,,,,,,,,,2024-07-10
19153202036386051786,Silver Sage Wellness Llc,19153202036386051786,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER SAGE WELLNESS LLC,,,,,,,,,2024-07-10
19341969601994942557,Holistic Approach Cultivation Llc,19341969601994942557,Retail Cultivation,Non-Operational,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,HOLISTIC APPROACH CULTIVATION LLC,,,,,,,,,2024-07-10
19619496668049413129,Tgig Llc,19619496668049413129,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TGIG LLC,,,,,,,,,2024-07-10
19737703505385233285,Southern Nevada Growers Llc,19737703505385233285,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SOUTHERN NEVADA GROWERS LLC,,,,,,,,,2024-07-10
19873661470522818141,Essence Henderson Llc,19873661470522818141,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ESSENCE HENDERSON LLC,,,,,,,,,2024-07-10
19904908334190096788,Diversified Modalities Marketing Ltd,19904908334190096788,Medical Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DIVERSIFIED MODALITIES MARKETING LTD,,,,,,,,,2024-07-10
20833618692863727137,Nevada Medical Group Llc,20833618692863727137,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA MEDICAL GROUP LLC,,,,,,,,,2024-07-10
20856188563796491040,Tahoe-Reno Botanicals Llc,20856188563796491040,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TAHOE-RENO BOTANICALS LLC,,,,,,,,,2024-07-10
21012999822242883351,Tryke Companies So Nv Llc,21012999822242883351,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TRYKE COMPANIES SO NV LLC,,,,,,,,,2024-07-10
21647298952036123142,Gbs Nevada Partners Llc,21647298952036123142,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GBS NEVADA PARTNERS LLC,,,,,,,,,2024-07-10
21781007495292162943,Focus Distribution Llc,21781007495292162943,Retail Distributor,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,FOCUS DISTRIBUTION LLC,,,,,,,,,2024-07-10
